offer_id,year_built,building_series,garbage_chute,elevators,building_type,ceiling_type,parking,entrances,heating,emergency,gas_supply
316085766,1962,,Да,2 пассажирских,Кирпичный,Нет информации,Наземная,1,Центральное,Нет,Центральное
316063232,,,,1 пассажирский,Кирпичный,,,,,,
316061559,1928,Индивидуальный проект,,,Кирпичный,Деревянные,,5,Центральное,Нет,Центральное
316027445,1967,Индивидуальный проект,,,Панельный,Железобетонные,,1,Центральное,Нет,
316020511,1957,Индивидуальный проект,,,Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
316016115,1960,Индивидуальный проект,,1 пассажирский,,Нет информации,Наземная,7,Центральное,Нет,Центральное
316006051,1958,Индивидуальный проект,,1 пассажирский,Блочный,Железобетонные,Открытая,4,Центральное,Нет,Центральное
316003714,1935,Индивидуальный проект,,1 пассажирский,,Нет информации,Наземная,3,Центральное,Нет,Центральное
315988478,1967,Индивидуальный проект,Да,2 пассажирских,Панельный,Железобетонные,,1,Центральное,Нет,
315986368,1965,,Да,"1 пассажирский, 1 грузовой",,Нет информации,Наземная,5,Центральное,Нет,Центральное
315985003,1931,Индивидуальный проект,,,,Нет информации,Наземная,6,Центральное,Нет,Центральное
315982292,1962,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
315977648,1926,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
315962374,1960,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,,2,Центральное,Нет,Центральное
315957488,1960,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,Наземная,9,Центральное,Нет,Центральное
315940995,1959,Индивидуальный проект,,,Кирпичный,Железобетонные,,3,Центральное,Нет,Центральное
315938837,1981,Индивидуальный проект,,2 пассажирских,Кирпичный,Железобетонные,Наземная,2,Центральное,Нет,Центральное
315934380,1958,Индивидуальный проект,Да,1 пассажирский,Блочный,Железобетонные,,4,Центральное,Нет,Центральное
315933413,1931,Индивидуальный проект,Да,,,Нет информации,Наземная,6,Центральное,Нет,Центральное
315916928,,,,1 пассажирский,,,Наземная,,,,
315915558,1960,Индивидуальный проект,Да,1 пассажирский,,Нет информации,Наземная,7,Центральное,Нет,Центральное
315911384,1946,Индивидуальный проект,Да,1 пассажирский,,Нет информации,Наземная,5,Центральное,Нет,Центральное
315909802,1929,Индивидуальный проект,,,,Нет информации,Наземная,3,Центральное,Нет,Центральное
315907723,1967,Индивидуальный проект,,"1 пассажирский, 1 грузовой",Панельный,Железобетонные,,1,Центральное,Нет,
315905314,1962,Индивидуальный проект,,,,Нет информации,,4,Центральное,Нет,Центральное
315904699,,,,,Кирпичный,,,,,,
315904568,,,,1 пассажирский,,,,,,,
315900371,1959,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Нет информации,Наземная,13,Центральное,Нет,Центральное
315898658,1967,Индивидуальный проект,Да,2 пассажирских,Панельный,Железобетонные,,1,Центральное,Нет,
315859046,1964,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
315855718,1928,Индивидуальный проект,,,Кирпичный,Деревянные,Наземная,5,Центральное,Нет,Центральное
315729152,1962,Индивидуальный проект,Да,1 пассажирский,,Нет информации,Наземная,4,Центральное,Нет,Центральное
315720394,1960,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,,5,Центральное,Нет,Центральное
315718474,1962,Индивидуальный проект,,,,Нет информации,,4,Центральное,Нет,Центральное
315713851,1952,Индивидуальный проект,,1 пассажирский,,Нет информации,Открытая,2,Центральное,Нет,
315711187,1962,Индивидуальный проект,Да,,,Нет информации,Наземная,3,Центральное,Нет,Центральное
315698560,1969,Индивидуальный проект,,"1 пассажирский, 1 грузовой",Блочный,Железобетонные,Наземная,2,Центральное,Нет,
315648902,1964,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,Наземная,10,Центральное,Нет,Центральное
315643332,1966,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,,1,Центральное,Нет,Центральное
315629964,1946,Индивидуальный проект,Да,1 пассажирский,,Нет информации,Наземная,5,Центральное,Нет,Центральное
315614690,1961,,,,Панельный,Железобетонные,Открытая,3,Центральное,Нет,Центральное
315585856,1961,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
315581814,1964,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,10,Центральное,Нет,Центральное
315564173,1969,Индивидуальный проект,,1 пассажирский,Блочный,Железобетонные,,2,Центральное,Нет,
315445673,1973,Индивидуальный проект,Да,2 пассажирских,Блочный,Железобетонные,Наземная,1,Центральное,Нет,
315443864,1966,Индивидуальный проект,,1 пассажирский,,Нет информации,Наземная,4,Центральное,Нет,Центральное
315392787,1960,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,9,Центральное,Нет,Центральное
315351421,1960,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,2,Центральное,Нет,Центральное
315314773,1935,Индивидуальный проект,,,Кирпичный,Деревянные,Наземная,4,Центральное,Нет,Центральное
315268246,1965,Индивидуальный проект,,2 пассажирских,Кирпичный,Железобетонные,Наземная,6,Центральное,Нет,
315248123,1926,Индивидуальный проект,,,Кирпичный,Смешанные,,2,Центральное,Нет,Центральное
315118882,1970,Индивидуальный проект,Да,,Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,
315111390,1962,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,,1,Центральное,Нет,Центральное
315083863,1966,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,,1,Центральное,Нет,Центральное
315078260,1960,Индивидуальный проект,,1 пассажирский,Кирпичный,Нет информации,Открытая,4,Центральное,Нет,Центральное
314996951,1967,,,1 пассажирский,Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
314946091,1931,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,
314945210,1963,,Да,1 пассажирский,Кирпичный,Железобетонные,,4,Центральное,Нет,Центральное
314939405,1957,,,"1 пассажирский, 1 грузовой",,Нет информации,,6,Центральное,Нет,
314911723,1975,Индивидуальный проект,,"1 пассажирский, 1 грузовой",,Нет информации,Наземная,1,Нет информации,Нет,
314909530,1961,,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,1,Центральное,Нет,Центральное
314897737,1954,Индивидуальный проект,,1 пассажирский,,Нет информации,Наземная,5,Центральное,Нет,Центральное
314886750,1959,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,,1,Центральное,Нет,Центральное
314767178,1953,Индивидуальный проект,,1 пассажирский,Кирпичный,Смешанные,,2,Центральное,Нет,Центральное
314676517,1961,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,3,Центральное,Нет,Центральное
314492366,1996,,Да,1 грузовой,,Нет информации,Подземная,2,Центральное,Нет,
314329494,1969,Индивидуальный проект,,"1 пассажирский, 1 грузовой",Блочный,Железобетонные,,2,Центральное,Нет,
314327404,1980,Индивидуальный проект,Да,2 пассажирских,Кирпичный,Железобетонные,,2,Центральное,Нет,
314317233,1933,Индивидуальный проект,,,Кирпичный,Деревянные,Наземная,1,Центральное,Нет,Центральное
314237628,1965,Индивидуальный проект,Да,1 пассажирский,,Нет информации,Наземная,8,Центральное,Нет,Центральное
314094610,1977,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,,6,Центральное,Нет,Центральное
314011077,1976,Индивидуальный проект,Да,"1 пассажирский, 1 грузовой",,Железобетонные,Наземная,9,Центральное,Нет,Центральное
313729695,1957,,,2 пассажирских,,Нет информации,Открытая,6,Центральное,Нет,
313689777,1966,Индивидуальный проект,Да,,Кирпичный,Железобетонные,,1,Центральное,Нет,Центральное
313492003,1977,,Да,"1 пассажирский, 1 грузовой",Кирпичный,Железобетонные,,1,Центральное,Нет,
313445775,1971,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,4,Центральное,Нет,Центральное
313423014,1957,,,2 пассажирских,,Нет информации,Наземная,6,Центральное,Нет,
312685160,1960,Индивидуальный проект,,,,Нет информации,Наземная,9,Центральное,Нет,Центральное
312673761,1954,Индивидуальный проект,,1 пассажирский,,Нет информации,,5,Центральное,Нет,Центральное
312246667,1976,Индивидуальный проект,Да,2 пассажирских,Кирпичный,Железобетонные,,1,Центральное,Нет,
312195522,1961,Индивидуальный проект,,,Кирпичный,Железобетонные,Наземная,4,Центральное,Нет,Центральное
310792342,1961,Индивидуальный проект,,1 пассажирский,Кирпичный,Железобетонные,,5,Центральное,Нет,Центральное
310660324,1979,Индивидуальный проект,Да,2 пассажирских,,Железобетонные,Наземная,4,Центральное,Нет,
309980505,1962,Индивидуальный проект,,,,Железобетонные,Наземная,6,Центральное,Нет,Центральное
308782939,1941,Индивидуальный проект,Да,1 пассажирский,,Нет информации,Наземная,8,Центральное,Нет,Центральное
305603631,1928,,Да,,Кирпичный,Железобетонные,,1,Центральное,Нет,Центральное
300772703,1963,Индивидуальный проект,Да,1 пассажирский,,Нет информации,Наземная,3,Центральное,Нет,Центральное
298970024,1960,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,5,Центральное,Нет,Центральное
295252797,1976,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,Наземная,7,Центральное,Нет,
294961642,1967,,Да,1 пассажирский,Кирпичный,Железобетонные,,1,Центральное,Нет,Центральное
294401225,1933,Индивидуальный проект,Нет,1 пассажирский,Кирпичный,Деревянные,,1,Центральное,Нет,Центральное
288005740,1962,Индивидуальный проект,Да,"1 пассажирский, 1 грузовой",Блочный,Железобетонные,Наземная,4,Центральное,Нет,Центральное
287535562,,,Нет,1 пассажирский,,,Наземная,,,,
284081870,1922,Индивидуальный проект,,,,Нет информации,,3,Центральное,Нет,Центральное
273115276,1931,Индивидуальный проект,Нет,,,Нет информации,,6,Центральное,Нет,Центральное
272600208,1926,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,,2,Центральное,Нет,Центральное
272591317,1961,Индивидуальный проект,Да,,Кирпичный,Железобетонные,,2,Центральное,Нет,Центральное
265122740,1962,Индивидуальный проект,Да,1 пассажирский,Кирпичный,Железобетонные,,4,Центральное,Нет,Центральное
262726424,1963,Индивидуальный проект,Да,1 пассажирский,,Нет информации,Наземная,3,Центральное,Нет,Центральное
